iter	Passed	Remaining
0	91	63855
1	186	64981
2	277	64401
3	361	62963
4	451	62811
5	547	63375
6	640	63420
7	737	63771
8	834	64063
9	936	64623
10	1032	64679
11	1123	64401
12	1220	64475
13	1307	64069
14	1391	63530
15	1476	63132
16	1560	62698
17	1642	62221
18	1729	62003
19	1814	61694
20	1899	61416
21	1981	61078
22	2064	60766
23	2149	60546
24	2232	60278
25	2315	60016
26	2401	59852
27	2486	59678
28	2568	59438
29	2650	59191
30	2735	59039
31	2820	58870
32	2909	58800
33	2993	58646
34	3076	58444
35	3168	58436
36	3250	58246
37	3332	58055
38	3414	57865
39	3498	57725
40	3582	57579
41	3668	57475
42	3752	57341
43	3838	57224
44	3925	57140
45	4007	56972
46	4091	56847
47	4180	56781
48	4268	56711
49	4367	56782
50	4447	56601
51	4533	56493
52	4613	56316
53	4700	56226
54	4782	56079
55	4866	55966
56	4946	55797
57	5031	55695
58	5117	55595
59	5201	55480
60	5285	55365
61	5366	55226
62	5450	55114
63	5536	55017
64	5622	54931
65	5706	54817
66	5793	54735
67	5873	54588
68	5962	54528
69	6044	54397
70	6129	54299
71	6213	54193
72	6295	54074
73	6378	53960
74	6460	53835
75	6541	53710
76	6628	53632
77	6719	53583
78	6802	53472
79	6890	53398
80	6976	53310
81	7058	53200
82	7141	53087
83	7225	52985
84	7307	52869
85	7399	52828
86	7481	52713
87	7565	52613
88	7649	52517
89	7737	52441
90	7821	52345
91	7901	52221
92	7986	52124
93	8071	52036
94	8162	51980
95	8253	51928
96	8341	51857
97	8433	51805
98	8524	51749
99	8606	51641
100	8690	51539
101	8769	51415
102	8861	51359
103	8948	51280
104	9030	51171
105	9147	51262
106	9230	51157
107	9316	51069
108	9397	50952
109	9480	50850
110	9561	50734
111	9661	50721
112	9757	50689
113	9842	50594
114	9923	50482
115	10000	50346
116	10088	50267
117	10175	50188
118	10260	50092
119	10344	49999
120	10431	49918
121	10514	49816
122	10599	49724
123	10686	49641
124	10770	49546
125	10850	49429
126	10935	49338
127	11020	49247
128	11102	49142
129	11187	49051
130	11269	48950
131	11360	48883
132	11444	48790
133	11530	48701
134	11611	48595
135	11696	48504
136	11783	48423
137	11864	48319
138	11948	48222
139	12035	48143
140	12202	48375
141	12289	48293
142	12382	48232
143	12473	48160
144	12561	48080
145	12644	47979
146	12728	47883
147	12808	47773
148	12891	47671
149	12974	47574
150	13057	47475
151	13141	47378
152	13221	47270
153	13303	47166
154	13389	47080
155	13473	46982
156	13554	46879
157	13637	46781
158	13719	46682
159	13802	46584
160	13886	46488
161	13972	46401
162	14062	46326
163	14147	46239
164	14230	46142
165	14318	46060
166	14403	45971
167	14485	45871
168	14499	45556
169	14584	45468
170	14691	45450
171	14806	45453
172	14917	45441
173	15020	45407
174	15144	45433
175	15237	45367
176	15338	45321
177	15438	45274
178	15538	45227
179	15626	45143
180	15713	45058
181	15792	44949
182	15879	44862
183	15980	44815
184	16072	44743
185	16189	44739
186	16274	44645
187	16359	44554
188	16437	44442
189	16510	44317
190	16578	44180
191	16648	44049
192	16739	43974
193	16826	43887
194	16914	43804
195	16986	43680
196	17057	43553
197	17131	43433
198	17221	43356
199	17234	43085
200	17313	42982
201	17415	42934
202	17443	42705
203	17531	42626
204	17609	42519
205	17641	42304
206	17726	42218
207	17817	42144
208	17896	42044
209	17974	41941
210	18046	41824
211	18117	41705
212	18200	41613
213	18287	41532
214	18373	41447
215	18407	41245
216	18498	41173
217	18596	41117
